time,cahaya,soil,temperature,humidity,fuzzy_output,pump_status,pump_duration

2026-03-06T10:02:57Z,48,154,31.80000,69.00000,0.00000,0,0
2026-03-09T03:16:07Z,1,154,26.70000,84.00000,0.00000,0,0
2026-03-09T03:18:07Z,3,141,26.90000,83.00000,0.00000,0,0
2026-03-09T03:20:06Z,1,148,27.10000,82.00000,0.00000,0,0
2026-03-09T03:22:06Z,13,126,27.10000,81.00000,0.00000,0,0
2026-03-09T03:26:06Z,9,134,27.10000,81.00000,0.00000,0,0
2026-03-09T03:28:07Z,10,165,27.10000,81.00000,0.00000,0,0
2026-03-09T03:30:07Z,10,-93,27.10000,81.00000,0.00000,0,0
2026-03-09T03:32:07Z,9,151,27.20000,81.00000,0.00000,0,0
2026-03-09T03:36:06Z,10,147,27.60000,81.00000,0.00000,0,0
2026-03-09T03:38:06Z,7,151,27.60000,81.00000,0.00000,0,0
2026-03-09T03:40:07Z,14,160,27.60000,80.00000,0.00000,0,0
2026-03-09T03:42:07Z,13,165,27.60000,76.00000,0.00000,0,0
2026-03-09T03:44:08Z,9,100,27.29333,80.40000,3.94319,0,0
2026-03-09T03:46:07Z,27,-93,28.00000,72.00000,0.00000,0,0
2026-03-09T03:48:06Z,14,129,28.00000,71.00000,0.00000,0,0
2026-03-09T03:50:07Z,12,-93,28.00000,69.00000,0.00000,0,0
2026-03-09T03:52:06Z,13,164,28.50000,70.00000,0.00000,0,0
2026-03-09T03:54:07Z,13,138,28.10000,68.00000,0.00000,0,0
2026-03-09T03:58:10Z,14,163,28.00000,70.00000,0.00000,0,0
2026-03-09T04:00:06Z,14,162,28.50000,70.00000,0.00000,0,0
2026-03-09T04:02:06Z,13,158,28.50000,68.00000,0.00000,0,0
2026-03-09T04:04:06Z,24,161,28.50000,70.00000,0.00000,0,0
2026-03-09T04:06:09Z,22,159,28.50000,71.00000,0.00000,0,0
2026-03-09T04:08:06Z,17,147,28.90000,70.00000,0.00000,0,0
2026-03-09T04:10:09Z,14,165,28.90000,68.00000,0.00000,0,0
2026-03-09T04:12:07Z,52,147,28.90000,68.00000,0.00000,0,0
2026-03-09T04:14:07Z,21,100,28.41333,69.53333,4.37917,0,0
2026-03-09T04:16:07Z,50,88,28.90000,68.00000,0.00000,0,0
2026-03-09T04:18:07Z,51,151,28.90000,68.00000,0.00000,0,0
2026-03-09T04:20:07Z,52,162,28.90000,67.00000,0.00000,0,0
2026-03-09T04:22:07Z,52,159,28.90000,68.00000,0.00000,0,0
2026-03-09T04:24:06Z,51,158,28.90000,67.00000,0.00000,0,0
2026-03-09T04:26:07Z,51,159,28.90000,67.00000,0.00000,0,0
2026-03-09T04:28:07Z,55,162,28.90000,67.00000,0.00000,0,0
2026-03-09T04:30:06Z,51,162,28.90000,67.00000,0.00000,0,0
2026-03-09T04:34:07Z,51,161,28.90000,68.00000,0.00000,0,0
2026-03-09T04:36:07Z,50,144,28.90000,68.00000,0.00000,0,0
2026-03-09T04:38:06Z,50,-4,28.90000,67.00000,0.00000,0,0
2026-03-09T04:40:07Z,50,164,28.90000,67.00000,0.00000,0,0
2026-03-09T04:42:07Z,51,132,28.90000,67.00000,0.00000,0,0
2026-03-09T04:44:06Z,51,100,26.97333,62.93333,4.06983,0,0
